Date,Emp ID,Auditor ID,Total Task,Samples,Defects,Fatel Errors
01-Jan-20,10001.0,20001.0,42.0,6.0,2.0,1.0
01-Jan-20,10002.0,20001.0,31.0,5.0,2.0,1.0
01-Jan-20,10003.0,20001.0,86.0,2.0,1.0,1.0
01-Jan-20,10004.0,20002.0,83.0,3.0,0.0,0.0
01-Jan-20,10005.0,20001.0,71.0,2.0,0.0,0.0
01-Jan-20,10006.0,20001.0,41.0,2.0,0.0,0.0
01-Jan-20,10007.0,20003.0,89.0,2.0,0.0,0.0
01-Jan-20,10008.0,20002.0,44.0,5.0,1.0,1.0
01-Jan-20,10009.0,20001.0,52.0,2.0,1.0,1.0
02-Jan-20,10001.0,20002.0,36.0,6.0,2.0,1.0
02-Jan-20,10002.0,20001.0,34.0,8.0,2.0,0.0
02-Jan-20,10003.0,20001.0,81.0,1.0,0.0,0.0
02-Jan-20,10004.0,20003.0,76.0,3.0,0.0,0.0
02-Jan-20,10005.0,20001.0,74.0,5.0,1.0,1.0
02-Jan-20,10006.0,20002.0,32.0,1.0,0.0,0.0
02-Jan-20,10007.0,20001.0,87.0,2.0,0.0,0.0
02-Jan-20,10008.0,20001.0,83.0,2.0,0.0,0.0
02-Jan-20,10009.0,20001.0,55.0,1.0,0.0,0.0
03-Jan-20,10001.0,20003.0,48.0,4.0,0.0,0.0
03-Jan-20,10002.0,20001.0,75.0,5.0,1.0,1.0
03-Jan-20,10003.0,20003.0,77.0,3.0,1.0,0.0
03-Jan-20,10004.0,20003.0,52.0,8.0,2.0,0.0
03-Jan-20,10005.0,20002.0,81.0,5.0,1.0,1.0
03-Jan-20,10006.0,20002.0,46.0,8.0,1.0,1.0
03-Jan-20,10007.0,20001.0,56.0,4.0,1.0,1.0
03-Jan-20,10008.0,20001.0,82.0,2.0,1.0,0.0
03-Jan-20,10009.0,20001.0,47.0,7.0,1.0,0.0
04-Jan-20,10001.0,20002.0,80.0,5.0,1.0,1.0
04-Jan-20,10002.0,20003.0,43.0,1.0,0.0,0.0
04-Jan-20,10003.0,20001.0,43.0,8.0,2.0,0.0
